Modèle,Type,Accuracy,AUC-ROC,Precision (macro),Recall (macro),F1-score (macro)
LSTM,Deep Learning,98.16,99.77,98.16,98.16,98.16
Hybrid CNN+LSTM,Deep Learning,97.95,99.85,98.0,97.95,97.95
GRU,Deep Learning,97.63,99.7,97.64,97.63,97.63
CNN1D,Deep Learning,76.62,86.93,76.89,76.62,76.56
Transformer,Deep Learning,52.63,52.4,53.26,52.63,50.26
Autoencoder,Deep Learning,50.0,23.84,25.0,50.0,33.33
Random Forest,Traditionnel,100.0,100.0,100.0,100.0,100.0
PCA,Traditionnel,49.32,49.32,49.32,49.32,49.32
DBSCAN,Traditionnel,48.08,48.08,24.51,48.08,32.47
Isolation Forest,Traditionnel,33.36,33.36,33.36,33.36,33.36
OneClass SVM,Traditionnel,32.03,32.03,32.03,32.03,32.03
LocalOutlierFactor,Traditionnel,26.79,26.79,26.79,26.79,26.79
